"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location of death","Information Source",Coordinates,"Migrantion route",URL,"UNSD Geographical Grouping","Source Quality"
2017.MMP00001,2017.MMP00001,Mediterranean,"Sun, 01/01/2017 - 12:00",2017,January,2,,2,,,,,"Accidental death","Border fence between Morocco and Ceuta","Diario de León","35.90866634, -5.37889276","Western Mediterranean","http://bit.ly/2j7vMJz, http://bit.ly/2j1augp, http://bit.ly/2iEC1Vq",Uncategorized,3
2017.MMP00002,2017.MMP00002,"North America","Mon, 01/02/2017 - 12:00",2017,January,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.1117, -112.9925","US-Mexico border crossing",,"Northern America",5
2017.MMP00003,2017.MMP00003,Europe,"Mon, 01/02/2017 - 12:00",2017,January,1,,1,,1,,,"Harsh environmental conditions / lack of adequate shelter, food, water","Near Ravadinovo, Bulgaria",Novinite,"42.3833314, 27.6611762","Western Balkans","http://bit.ly/2j4NeCg, http://bit.ly/2hOkWdH","Eastern Europe",3
2017.MMP00004,2017.MMP00004,Mediterranean,"Mon, 01/02/2017 - 12:00",2017,January,1,,1,,,,,Drowning,"Body recovered from shores near Tajoura, Libya","IOM Libya","32.8808385, 13.3443538","Central Mediterranean",,Uncategorized,4
2017.MMP00005,2017.MMP00005,"North America","Tue, 01/03/2017 - 12:00",2017,January,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.91683, -112.93808","US-Mexico border crossing",,"Northern America",5
2017.MMP00006,2017.MMP00006,Europe,"Tue, 01/03/2017 - 12:00",2017,January,1,,1,,,1,,"Harsh environmental conditions / lack of adequate shelter, food, water","Near Didimoteicho, Greece","IOM Greece, AP","41.3454098, 26.4808109","Western Balkans",http://bit.ly/2hQUT75,"Southern Europe",4
2017.MMP00007,2017.MMP00007,"North America","Tue, 01/03/2017 - 12:00",2017,January,1,,1,,,1,,"Mixed or unknown","Rio Grande, Hidalgo County, Texas, USA","Facebook Desaparecidos y sin reclamar en la frontera","26.0858723, -98.2557676","US-Mexico border crossing",http://bit.ly/2jCHq2f,"Northern America",4
2017.MMP00008,2017.MMP00008,"Northern Africa","Wed, 01/04/2017 - 12:00",2017,January,3,,3,,,,,"Mixed or unknown","Ajdabiya, Libya","Mixed Migration Monitoring Mechanism Initative (4mi)","29.9834835, 19.1499472","Sahara Desert crossing",http://www.mixedmigration.org/4mi/,"Northern Africa",2
2017.MMP00009,2017.MMP00009,Mediterranean,"Wed, 01/04/2017 - 12:00",2017,January,5,,5,,,,,Drowning,"Bodies recovered 70 km east of Tripoli, Libya","IOM Libya, AFP","32.9006121, 13.0461726","Central Mediterranean",http://bit.ly/2iEdFh4,Uncategorized,4
2017.MMP00010,2017.MMP00010,Mediterranean,"Wed, 01/04/2017 - 12:00",2017,January,3,,3,45,1,,1,Drowning,"Off the coast of Nador, Morocco",Xinhua,"35.1761423, -2.9240733","Western Mediterranean","http://on.china.cn/2if21q3, http://bit.ly/2iHkz51, http://bit.ly/2j4IdKn",Uncategorized,3
