"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location of death","Information Source",Coordinates,"Migrantion route",URL,"UNSD Geographical Grouping","Source Quality"
2018.MMP00001,2018.MMP00001,"South America","Mon, 01/01/2018 - 12:00",2018,January,4,,4,2,1,3,,"Vehicle accident / death linked to hazardous transport","BR-471 motorway near Santa Vitória do Palmar, Rio Grande do Sul, Brazil","El Nuevo Herald, O Globo, Diaro de Cuba","-33.5176991, -53.3342095",,"http://hrld.us/2D0Ebf9, http://bit.ly/2FpLXhe, https://glo.bo/2m8LfMj, https://bit.ly/2GFOO92","South America",3
2018.MMP00002,2018.MMP00002,"North America","Tue, 01/02/2018 - 12:00",2018,January,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.264014, -111.661872","US-Mexico border crossing",http://www.humaneborders.info/,"Northern America",5
2018.MMP00003,2018.MMP00003,"North America","Tue, 01/02/2018 - 12:00",2018,January,1,,1,,,,,"Mixed or unknown","Ranch near Falfurrias, Brooks County, Texas, USA","South Texas Human Rights Center, KRIS TV, Caller Times","27.2474839, -98.3788079","US-Mexico border crossing","http://bit.ly/2EFoOHq, http://bit.ly/2FNkUvz","Northern America",4
2018.MMP00004,2018.MMP00004,"North America","Tue, 01/02/2018 - 12:00",2018,January,1,,1,,,1,,"Mixed or unknown","Mariposa Ranch near Falfurrias, Brooks County, Texas, USA","South Texas Human Rights Center, KRIS TV, Caller Times","27.1058052, -98.146774","US-Mexico border crossing","http://bit.ly/2EFoOHq, http://bit.ly/2FNkUvz","Northern America",4
2018.MMP00005,2018.MMP00005,Europe,"Tue, 01/02/2018 - 12:00",2018,January,,1,1,1,,,,Drowning,"Kolpa/Kupa river, near Ukovaci, municipality of Črnomelj, Slovenia","IOM Slovenia, zurnal24.si","45.5597062, 15.2988207","Western Balkans",http://bit.ly/2oOTrni,"Southern Europe",1
2018.MMP00006,2018.MMP00006,"Northern Africa","Tue, 01/02/2018 - 12:00",2018,January,2,,2,,,2,,"Mixed or unknown","Sahara desert, Libya","Mixed Migration Monitoring Mechanism Initiative (4mi)","21.284256, 24.028913","Sahara Desert crossing",http://www.mixedmigration.org/4mi/,"Northern Africa",2
2018.MMP00007,2018.MMP00007,"Central America","Wed, 01/03/2018 - 12:00",2018,January,1,,1,,,1,,Drowning,"Rio Bravo, at Donna Rio Bravo International Bridge, Tamaulipas, Mexico","El Mañana","26.0635489, -98.0760348","US-Mexico border crossing",http://bit.ly/2CSAtBY,"Central America",1
2018.MMP00008,2018.MMP00008,"Northern Africa","Wed, 01/03/2018 - 12:00",2018,January,2,,2,,1,1,,"Mixed or unknown","Sahara desert, Libya","Mixed Migration Monitoring Mechanism Initiative (4mi)","24.642024, 14.587863","Sahara Desert crossing",http://www.mixedmigration.org/4mi/,"Northern Africa",2
2018.MMP00009,2018.MMP00009,"North America","Thu, 01/04/2018 - 12:00",2018,January,1,,1,,,1,,"Mixed or unknown","East Ranch-Santa Fe Feeders, near Encino, 20 miles south of Falfurrias, Brooks County, Texas, USA","South Texas Human Rights Center, KRIS TV, Caller Times","26.8077686, -98.118294","US-Mexico border crossing","http://bit.ly/2EFoOHq, http://bit.ly/2FNkUvz","Northern America",4
2018.MMP00010,2018.MMP00010,Mediterranean,"Thu, 01/04/2018 - 12:00",2018,January,1,,1,,,1,,Drowning,"Off the coast of Sanlúcar de Barrameda, Cádiz, Spain","Andalucía Información","36.7846768, -6.5809352","Western Mediterranean",http://bit.ly/2AwvkMU,Uncategorized,1
2018.MMP00011,2018.MMP00011,Mediterranean,"Fri, 01/05/2018 - 12:00",2018,January,4,,4,4,,,,Drowning,"Near Tanger-Med cargo port, 40km east of Tangiers, Morocco","Salvamento Marítimo","35.8805383, -5.5195052","Western Mediterranean","http://bit.ly/2qG7miM, http://bit.ly/2mcXFDW",Uncategorized,5
2018.MMP00012,2018.MMP00012,"Northern Africa","Fri, 01/05/2018 - 12:00",2018,January,1,,1,,,1,,"Harsh environmental conditions / lack of adequate shelter, food, water","Sahara desert, Sudan","Mixed Migration Monitoring Mechanism Initiative (4mi)","20.339476, 26.619864","Sahara Desert crossing",http://www.mixedmigration.org/4mi/,"Northern Africa",2
2018.MMP00013,2018.MMP00013,Mediterranean,"Sat, 01/06/2018 - 12:00",2018,January,8,56,64,86,6,2,5,"Mixed or unknown","Unspecified location off the coast of Libya","IOM Italy, SOS Méditerranée, MSF Sea","34.0783805, 13.2682426","Central Mediterranean","http://bbc.in/2Ej8fzR, http://bit.ly/2D7iXdi, http://bit.ly/2Fi3Yy0",Uncategorized,4
2018.MMP00014,2018.MMP00014,"Northern Africa","Sat, 01/06/2018 - 12:00",2018,January,3,,3,,1,1,,"Vehicle accident / death linked to hazardous transport","Sahara desert, Libya","Mixed Migration Monitoring Mechanism Initiative (4mi)","23.679744, 14.058795","Sahara Desert crossing",http://www.mixedmigration.org/4mi/,"Northern Africa",2
2018.MMP00015,2018.MMP00015,Mediterranean,"Sun, 01/07/2018 - 12:00",2018,January,2,10,12,270,2,,,Drowning,"Off the coast of Garabuli, Libya","IOM Libya","32.9830023, 13.7688521","Central Mediterranean",http://bit.ly/2Enoaxc,Uncategorized,4
2018.MMP00016,2018.MMP00016,"Northern Africa","Mon, 01/08/2018 - 12:00",2018,January,1,,1,,,1,,Violence,"Between Bani Waled and Tripoli, Libya","Mixed Migration Monitoring Mechanism Initiative (4mi)","31.876975, 13.853232","Sahara Desert crossing",http://www.mixedmigration.org/4mi/,"Northern Africa",2
