"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location of death","Information Source",Coordinates,"Migrantion route",URL,"UNSD Geographical Grouping","Source Quality"
2016.MMP00001,2016.MMP00001,Mediterranean,"Sat, 01/02/2016 - 12:00",2016,January,1,,1,39,,1,1,Drowning,"Near Agathonisi island, Greece. Boat hit rocks on tiny Nera island next to Agathonisi.","IOM Athens and Migrant Report","37.4578641, 26.9379225","Eastern Mediterranean",http://bit.ly/1mZztmm,Uncategorized,4
2016.MMP00002,2016.MMP00002,"Central America","Sat, 01/02/2016 - 12:00",2016,January,3,,3,,,3,3,"Mixed or unknown","Northern Mexico'",Tiempo,"27.9826499, -103.7840617",,"http://bit.ly/1Sx35VI, http://bit.ly/1K23Ugy","Central America",3
2016.MMP00003,2016.MMP00003,Mediterranean,"Sat, 01/02/2016 - 12:00",2016,January,1,,1,,,1,,Drowning,"Body found on Benzú beach, near the Morocco-Spain border","El Mundo","35.9441719, -5.6963732","Western Mediterranean",http://bit.ly/1W83zj4,Uncategorized,1
2016.MMP00004,2016.MMP00004,Mediterranean,"Sat, 01/02/2016 - 12:00",2016,January,4,,4,,1,3,,Drowning,"Found on Fournoi Island, Greece","Hellenic Coast Guard, via IOM Athens","37.596379, 26.424823","Eastern Mediterranean",http://www.hcg.gr/node/11797,Uncategorized,5
2016.MMP00005,2016.MMP00005,Mediterranean,"Mon, 01/04/2016 - 12:00",2016,January,1,,1,,,,,Drowning,"Found on Samos Island, Greece","Hellenic Coast Guard, via IOM Athens","37.7245805, 26.6778283","Eastern Mediterranean",http://www.hcg.gr/node/11802,Uncategorized,5
2016.MMP00006,2016.MMP00006,Mediterranean,"Mon, 01/04/2016 - 12:00",2016,January,1,,1,,1,,,Drowning,"Found on Fournoi Island, Greece","Hellenic Coast Guard, via IOM Athens","37.596379, 26.424823","Eastern Mediterranean",http://www.hcg.gr/node/11806,Uncategorized,5
2016.MMP00007,2016.MMP00007,Mediterranean,"Mon, 01/04/2016 - 12:00",2016,January,1,,1,,,1,,Drowning,"Found on Tinos Island, Greece","Hellenic Coast Guard, via IOM Athens","37.5381845, 25.1580607","Eastern Mediterranean",http://www.hcg.gr/node/11806,Uncategorized,5
2016.MMP00008,2016.MMP00008,Mediterranean,"Mon, 01/04/2016 - 12:00",2016,January,3,,3,,,3,,Drowning,"Morocco-Spain border, between the towns of Belyounech, Morocco and Benzú, Spain","Yabiladi, Público","37.0029535, -1.4279286","Western Mediterranean","http://bit.ly/1Yvkca7, http://bit.ly/2rwP160",Uncategorized,3
2016.MMP00009,2016.MMP00009,"North America","Tue, 01/05/2016 - 12:00",2016,January,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.81276, -111.40755","US-Mexico border crossing",http://www.humaneborders.info/app/map.asp,"Northern America",5
2016.MMP00010,2016.MMP00010,"North America","Tue, 01/05/2016 - 12:00",2016,January,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.9148, -112.54042","US-Mexico border crossing",http://www.humaneborders.info/app/map.asp,"Northern America",5
2016.MMP00011,2016.MMP00011,Mediterranean,"Tue, 01/05/2016 - 12:00",2016,January,1,,1,,1,,,Drowning,"Found on Ikaria Island, Greece. Avlaki beach","Hellenic Coast Guard, via IOM Athens","37.596379, 26.424823","Eastern Mediterranean",http://www.hcg.gr/node/11806,Uncategorized,5
2016.MMP00012,2016.MMP00012,Mediterranean,"Tue, 01/05/2016 - 12:00",2016,January,1,,1,,1,,1,Drowning,"Found on Ikaria Island, Greece. Aginola beach","Hellenic Coast Guard","37.596379, 26.424823","Eastern Mediterranean",http://www.hcg.gr/node/11806,Uncategorized,5
2016.MMP00013,2016.MMP00013,Mediterranean,"Tue, 01/05/2016 - 12:00",2016,January,36,,36,8,2,,3,Drowning,"Washed up on the shore of Ayvalik, and nearby Dikili, Turkey or found in the sea nearby. Most on Ayvalik with 10 -12 on Dikili. Likely en route to Lesvos, Greece","AP, Action Group for Palestinians of Syria","39.0776862, 26.8860692","Eastern Mediterranean",http://dailym.ai/1mCKbi8,Uncategorized,4
2016.MMP00014,2016.MMP00014,Mediterranean,"Fri, 01/08/2016 - 12:00",2016,January,1,,1,,,,,Drowning,"Found on the coast of Lesvos Island, Greece, Mithimna port.","Hellenic Coast Guard","39.3663305, 26.135897","Eastern Mediterranean",http://www.hcg.gr/node/11813,Uncategorized,5
2016.MMP00015,2016.MMP00015,"Eastern Africa","Fri, 01/08/2016 - 12:00",2016,January,,36,36,70,,,,Drowning,"Off the coast of Somaliland autonomous region in northern Somalia","IOM Somalia","10.8362539, 45.6400791","Horn of Africa to Yemen crossing","http://www.iom.int/news/iom-responds-fatal-somaliland-shipwreck, http://www.iom.int/news/ethiopian-survivors-somalia-boat-tragedy-return-home","Eastern Africa",4
2016.MMP00016,2016.MMP00016,Mediterranean,"Fri, 01/08/2016 - 12:00",2016,January,1,,1,,,1,1,Drowning,"Port of Melilla, near a boat that was travelling to Almeria, Spain","Asociación Pro Derechos Humanos de Andalucía","35.2850613, -2.933977","Western Mediterranean",http://bit.ly/1ORw1Xk,Uncategorized,3
2016.MMP00017,2016.MMP00017,"Western Asia","Fri, 01/08/2016 - 12:00",2016,January,4,,4,30,,,2,"Vehicle accident / death linked to hazardous transport","Ezine–Bayramic road in Canakkale, by/on Harharik Bridge, Turkey","Anadolu Agency","39.8136758, 26.5558626",,http://bit.ly/1JyydQZ,"Western Asia",1
2016.MMP00018,2016.MMP00018,"Northern Africa","Fri, 01/08/2016 - 12:00",2016,January,2,,2,,,,,"Mixed or unknown","Shemaliya, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","19.4022552, 27.9053789","Sahara Desert crossing",http://www.mixedmigration.org/4mi/,"Northern Africa",2
2016.MMP00019,2016.MMP00019,"North America","Fri, 01/08/2016 - 12:00",2016,January,4,,4,,1,,,"Mixed or unknown","Ranch near Falfurrias, Brooks County, Texas, USA","The Monitor","27.0116055, -98.3848503","US-Mexico border crossing",http://bit.ly/2jdNKus,"Northern America",1
2016.MMP00020,2016.MMP00020,"North America","Sat, 01/09/2016 - 12:00",2016,January,1,,1,,,1,,"Harsh environmental conditions / lack of adequate shelter, food, water","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.152887, -111.237689","US-Mexico border crossing",http://www.humaneborders.info/app/map.asp,"Northern America",5
2016.MMP00021,2016.MMP00021,"Central America","Sat, 01/09/2016 - 12:00",2016,January,1,,1,,,1,,"Vehicle accident / death linked to hazardous transport","Km. 39 on Highway 'El Ceibo', Tenosique, Mexico","@Ruben FigueroaDH","17.2643417, -91.0018464",,http://bit.ly/1VcSfFs,"Central America",1
2016.MMP00022,2016.MMP00022,"Western Asia","Sat, 01/09/2016 - 12:00",2016,January,7,,7,42,,,,"Vehicle accident / death linked to hazardous transport","Western Balikesir province, Turkey","Dogan News Agency","39.5071324, 27.9384909",,http://bit.ly/1UEnJQC,"Western Asia",1
2016.MMP00023,2016.MMP00023,Europe,"Sun, 01/10/2016 - 12:00",2016,January,1,,1,,,1,,"Vehicle accident / death linked to hazardous transport","Found at Orly Airport, France. Was on flight from Brazil that landed in Charles de Gaulle on the 10th of January.","Daily Mail","48.7262433, 2.3630585",,http://dailym.ai/1T7zAIQ,"Western Europe",1
2016.MMP00024,2016.MMP00024,"Northern Africa","Sun, 01/10/2016 - 12:00",2016,January,2,,2,,,,,"Sickness / lack of access to adequate healthcare","Aswan, Egypt","Mixed Migration Monitoring Mechanism Initative (4mi)","23.285107, 31.5204557","Sahara Desert crossing",http://www.mixedmigration.org/4mi/,"Northern Africa",2
2016.MMP00025,2016.MMP00025,"Eastern Africa","Sun, 01/10/2016 - 12:00",2016,January,2,,2,,,,,"Vehicle accident / death linked to hazardous transport","Humera, Tigray, Ethiopia","Mixed Migration Monitoring Mechanism Initative (4mi)","14.2782317, 36.596317",,http://www.mixedmigration.org/4mi/,"Eastern Africa",2
2016.MMP00026,2016.MMP00026,"Northern Africa","Sun, 01/10/2016 - 12:00",2016,January,1,,1,,,,,"Mixed or unknown","Aswan, Egypt","Mixed Migration Monitoring Mechanism Initative (4mi)","23.285107, 31.5204557","Sahara Desert crossing",http://www.mixedmigration.org/4mi/,"Northern Africa",2
2016.MMP00027,2016.MMP00027,"Northern Africa","Sun, 01/10/2016 - 12:00",2016,January,3,,3,,,,,"Mixed or unknown","Sahara Desert, Libya","Mixed Migration Monitoring Mechanism Initative (4mi)","26.0200607, 16.4371791","Sahara Desert crossing",http://www.mixedmigration.org/4mi/,"Northern Africa",2
2016.MMP00028,2016.MMP00028,"Eastern Africa","Sun, 01/10/2016 - 12:00",2016,January,1,,1,,,,,"Mixed or unknown","Near Wajale, Somalia","Mixed Migration Monitoring Mechanism Initative (4mi)","9.6047166, 43.3326101",,http://www.mixedmigration.org/4mi/,"Eastern Africa",2
2016.MMP00029,2016.MMP00029,"Eastern Africa","Sun, 01/10/2016 - 12:00",2016,January,1,,1,,,,,"Sickness / lack of access to adequate healthcare","Near Garowe, Somalia","Mixed Migration Monitoring Mechanism Initative (4mi)","8.4066579, 48.4713577",,http://www.mixedmigration.org/4mi/,"Eastern Africa",2
2016.MMP00030,2016.MMP00030,Mediterranean,"Mon, 01/11/2016 - 12:00",2016,January,1,8,9,34,9,,,Drowning,"Off the coast of close to the coast of Santa Maria di Leuca, southern Italy","IOM Rome and Reuters","39.7927782, 18.3508992","Central Mediterranean",http://reut.rs/1OXbHUn,Uncategorized,4
2016.MMP00031,2016.MMP00031,Mediterranean,"Mon, 01/11/2016 - 12:00",2016,January,3,,3,13,3,,1,Drowning,"About 200 meters off the coast of Ayvacık district, Çanakkale  Province, Turkey, likely en route to Lesvos, Greece","Doğan News Agency","39.5198918, 26.3689895","Eastern Mediterranean",http://bit.ly/1OfGmJ4,Uncategorized,1
