"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location of death","Information Source",Coordinates,"Migrantion route",URL,"UNSD Geographical Grouping","Source Quality"
2019.MMP00001,2019.MMP00001,Mediterranean,"Wed, 01/02/2019 - 12:00",2019,January,1,,1,67,,,,Drowning,"Unspecified location in the Alboran Sea, between Spain and Morocco (recovered by the Moroccan Navy)","Caminando Fronteras, Nuovi Desaparecidos","35.886028765, -3.811126193","Western Mediterranean",https://bit.ly/2LUzshc,Uncategorized,4
2019.MMP00002,2019.MMP00002,Mediterranean,"Wed, 01/02/2019 - 12:00",2019,January,1,,1,,,1,,Drowning,"Body recovered in the Gibraltar Strait, 12 miles southeast of Cape Trafalgar, off the coast of Barbate, Cádiz, Spain","Europa Press, Canal Sur","36.184741289, -5.915458664","Western Mediterranean","https://bit.ly/2Fef0Xi, https://bit.ly/2VyiNVc",Uncategorized,3
2019.MMP00003,2019.MMP00003,Mediterranean,"Wed, 01/02/2019 - 12:00",2019,January,6,,6,,,,,Drowning,"Bodies recovered on the shores of Al-Sawawa, Sirte, Libya","IOM Libya, Libyan Red Crescent","31.208814747, 16.594403366","Central Mediterranean","https://bit.ly/2TsROIG, https://bit.ly/2C80HAB",Uncategorized,4
2019.MMP00004,2019.MMP00004,"North America","Thu, 01/03/2019 - 12:00",2019,January,1,,1,,,1,,"Sickness / lack of access to adequate healthcare","Field near Boulevard, San Diego County, California, USA","San Diego Office of the Medical Examiner","32.656797994, -116.268879535","US-Mexico border crossing",,"Northern America",5
2019.MMP00005,2019.MMP00005,Mediterranean,"Thu, 01/03/2019 - 12:00",2019,January,3,,3,,,,,Drowning,"Bodies recovered off the shore of Sirte, Libya","IOM Libya","31.203216498, 16.547533398","Central Mediterranean",https://twitter.com/zakariyatz/status/1080932840945143808,Uncategorized,4
2019.MMP00006,2019.MMP00006,Mediterranean,"Fri, 01/04/2019 - 12:00",2019,January,2,,2,,,,,Drowning,"Bodies recovered off the shore of Sirte, Libya","IOM Libya","31.211438509, 16.540666943","Central Mediterranean",https://twitter.com/zakariyatz/status/1081133738673819648,Uncategorized,4
2019.MMP00007,2019.MMP00007,Mediterranean,"Fri, 01/04/2019 - 12:00",2019,January,1,,1,,,1,,Drowning,"Body recovered on Playa de Calahonda, Mijas, Málaga, Spain (Alboran Sea)","La Vanguardia, Diaro Sur","36.4853674, -4.738263","Western Mediterranean",https://bit.ly/2SI7yHJ https://bit.ly/2RbktW6,Uncategorized,3
2019.MMP00008,2019.MMP00008,"South America","Fri, 01/04/2019 - 12:00",2019,January,1,,1,,,1,,"Harsh environmental conditions / lack of adequate shelter, food, water","Timbío, Cauca, Colombia","Periodico Virtual","2.352686, -76.683352",,https://bit.ly/2H0Ys7L https://bit.ly/2SLAuPd http://bit.ly/2UCtcyi,"South America",3
2019.MMP00009,2019.MMP00009,Mediterranean,"Sat, 01/05/2019 - 12:00",2019,January,1,,1,,,1,,Drowning,"Body recovered on beach near Cabo de Sabinar, Almerimar, El Éjido, Almería, Spain (Alboran Sea)",eldiario.es,"36.685755389, -2.777835706","Western Mediterranean",https://bit.ly/2Cvvjw7,Uncategorized,1
2019.MMP00010,2019.MMP00010,"North America","Sun, 01/06/2019 - 12:00",2019,January,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.20587, -112.97794","US-Mexico border crossing",http://www.humaneborders.info/app/mapa.asp,"Northern America",5
