"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location of death","Information Source",Coordinates,"Migrantion route",URL,"UNSD Geographical Grouping","Source Quality"
2015.MMP00001,2015.MMP00001,"Eastern Africa","Thu, 01/01/2015 - 12:00",2015,January,1,,1,1,,,,Violence,"Ethiopian-Djibouti border","Mixed Migration Monitoring Mechanism Initative (4mi)","11.886603, 41.998129",,http://bit.ly/1AGmcRD,"Eastern Africa",2
2015.MMP00002,2015.MMP00002,"Eastern Africa","Thu, 01/01/2015 - 12:00",2015,January,2,,2,,,,,"Harsh environmental conditions / lack of adequate shelter, food, water","Obock, Djibouti","Mixed Migration Monitoring Mechanism Initative (4mi)","11.9647465, 43.288407",,http://bit.ly/1AGmcRD,"Eastern Africa",2
2015.MMP00003,2015.MMP00003,"Western Asia","Thu, 01/01/2015 - 12:00",2015,January,1,,1,,1,,,"Mixed or unknown","Taizz, Yemen","IOM Yemen","13.5775886, 44.017799",,,"Western Asia",4
2015.MMP00004,2015.MMP00004,"Western Asia","Thu, 01/01/2015 - 12:00",2015,January,1,,1,,,1,,"Mixed or unknown","Lahj, Yemen","IOM Yemen","13.5697, 44.0146",,,"Western Asia",4
2015.MMP00005,2015.MMP00005,"South-eastern Asia","Fri, 01/09/2015 - 12:00",2015,January,3,,3,,,1,,Violence,"Island off the coast of Phang Nga, the mainland province north of Phuket.","Phuket Wan - Tourism News","8.111574, 98.448911",,http://bit.ly/14qimAe,"South-eastern Asia",1
2015.MMP00006,2015.MMP00006,Caribbean,"Sat, 01/03/2015 - 12:00",2015,January,1,0,1,3,0,1,,Drowning,"Unspecified location off the coast of Sand Quay Island, South Sound, Grand Cayman","Cayman inews and Cuban Archives","19.2696881, -81.392199",,"http://bit.ly/1AgisbN, http://bit.ly/1uEv2up, http://bit.ly/2lngiWU",Caribbean,3
2015.MMP00007,2015.MMP00007,Europe,"Sat, 01/03/2015 - 12:00",2015,January,1,,1,,,1,,"Harsh environmental conditions / lack of adequate shelter, food, water","Unspecified location in Greece en route to Northern Europe","Action Group for Palestinians of Syria","41.1689113, 21.528736",,http://www.actionpal.org.uk/en/,"Southern Europe",4
2015.MMP00008,2015.MMP00008,"North America","Sun, 01/04/2015 - 12:00",2015,January,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.82578, -112.151317","US-Mexico border crossing",,"Northern America",5
2015.MMP00010,2015.MMP00010,Mediterranean,"Sun, 01/04/2015 - 12:00",2015,January,5,,5,16,,,,Drowning,"80 km north of the Argelia Coast, Spain","El Periodico","35.908983, -1.592287","Western Mediterranean",http://bit.ly/20GoXzL,Uncategorized,1
2015.MMP00011,2015.MMP00011,"Eastern Africa","Wed, 01/07/2015 - 12:00",2015,January,2,0,2,2,,,,Drowning,"Limpopo River in Zimbabwe near border with South Africa","TNA Media","-23.6499447, 30.120909",,http://bit.ly/1ArHapu,"Eastern Africa",1
2015.MMP00013,2015.MMP00013,Europe,"Thu, 01/08/2015 - 12:00",2015,January,1,,1,,,1,,"Vehicle accident / death linked to hazardous transport","Unspecified location in Macedonia en route to Europe","Action Group for Palestinians of Syria","42.2065073, 21.201435","Western Balkans",http://www.actionpal.org.uk/en/,"Southern Europe",4
2015.MMP00014,2015.MMP00014,"North America","Fri, 01/09/2015 - 12:00",2015,January,1,,1,,,,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.00965, -112.58101","US-Mexico border crossing",,"Northern America",5
2015.MMP00015,2015.MMP00015,"North America","Sat, 01/10/2015 - 12:00",2015,January,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.501317, -111.45325","US-Mexico border crossing",,"Northern America",5
2015.MMP00016,2015.MMP00016,"South-eastern Asia","Sun, 01/11/2015 - 12:00",2015,January,1,,1,97,1,,,Violence,"Travelling between Phangnga to Songkhla, Thailand. Intercepted at a checkpoint in Hua Sai district in Nakhon Si Thammarat province.","Bangkok Post","7.2502406, 100.338316",,"http://bit.ly/14OFc54, http://bit.ly/1C6ngh3, http://reut.rs/1DCZcGB","South-eastern Asia",3
2015.MMP00017,2015.MMP00017,"South-eastern Asia","Wed, 01/14/2015 - 12:00",2015,January,2,,2,,,,,"Harsh environmental conditions / lack of adequate shelter, food, water","Hua Sai district in Nakhon Si Thammarat province, Thailand",Mizzima,"8.5822981, 99.22492",,http://bit.ly/1t5XppK,"South-eastern Asia",1
2015.MMP00018,2015.MMP00018,"South-eastern Asia","Thu, 01/15/2015 - 12:00",2015,January,6,,6,5,2,,,"Vehicle accident / death linked to hazardous transport","Ban Khok Sai, Moo1, Ja Nong subdistrict, Ja Na district, Song Khla province, Thailand","Post Today, Kom Chad Luek, Daily News, Nation TV","18.0013744, 101.082491",,"https://archive.vn/pb4GR, https://archive.vn/R5RVV, https://archive.vn/w4ork, https://archive.vn/J1xrD, http://bit.ly/2kyBK8g, http://bit.ly/2kzHPRO","South-eastern Asia",3
2015.MMP00019,2015.MMP00019,Mediterranean,"Fri, 01/16/2015 - 12:00",2015,January,9,36,45,27,,,,Drowning,"Off the coast of Zliten, Libya","Almanar News","36.8103313, 27.271264","Central Mediterranean",http://bit.ly/1xsyut2,Uncategorized,1
2015.MMP00020,2015.MMP00020,"Central America","Sat, 01/17/2015 - 12:00",2015,January,1,,1,,,1,,Violence,"Gregorio Mendez, Tabasco, Mexico","La 72","18.056331, -93.084468",,,"Central America",1
2015.MMP00021,2015.MMP00021,Mediterranean,"Sun, 01/18/2015 - 12:00",2015,January,1,,1,418,,,,"Mixed or unknown","Unspecified location between North Africa and Italy. Body brought to Reggio Calabria, Italy.","MediaSet TGCOM24","34.8859, 14.4141","Central Mediterranean",http://bit.ly/1sURQdS,Uncategorized,1
2015.MMP00022,2015.MMP00022,"Central America","Mon, 01/19/2015 - 12:00",2015,January,1,,1,,,1,,Violence,"Near railway tracks, Villahermosa, Tabasco, Mexico",Excelsior,"17.983326, -92.916667",,http://bit.ly/2910OhK,"Central America",1
2015.MMP00023,2015.MMP00023,"Central America","Tue, 01/20/2015 - 12:00",2015,January,1,,1,9,,1,1,"Vehicle accident / death linked to hazardous transport","Highway out of Reforma, Tabasco, Mexico","Noticieros Televisa","17.875807, -93.151203",,http://bit.ly/2aPiIHV,"Central America",1
2015.MMP00024,2015.MMP00024,"Northern Africa","Tue, 01/20/2015 - 12:00",2015,January,12,,12,,,,,"Vehicle accident / death linked to hazardous transport","between Tarhuna and Tripoli, Libya",FFM-Online,"32.581556, 13.178704","Sahara Desert crossing",http://bit.ly/1MRM1Yh,"Northern Africa",1
2015.MMP00025,2015.MMP00025,Mediterranean,"Thu, 01/22/2015 - 12:00",2015,January,1,20,21,86,,21,,Drowning,"Off the coast of Mellieha, Malta","Times of Malta.com","35.272947, -2.924594","Central Mediterranean",http://bit.ly/2jTwUTF,Uncategorized,1
2015.MMP00026,2015.MMP00026,"Northern Africa","Fri, 01/23/2015 - 12:00",2015,January,1,,1,,,1,,"Vehicle accident / death linked to hazardous transport","Unspecified location on the Libyan/Sudanese border","Action Group for Palestinians of Syria","20.7795755, 24.152626","Sahara Desert crossing",http://www.actionpal.org.uk/en/,"Northern Africa",4
2015.MMP00027,2015.MMP00027,"North America","Sun, 01/25/2015 - 12:00",2015,January,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.947183, -111.695567","US-Mexico border crossing",,"Northern America",5
2015.MMP00028,2015.MMP00028,"North America","Tue, 01/27/2015 - 12:00",2015,January,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.425, -111.6568","US-Mexico border crossing",,"Northern America",5
2015.MMP00029,2015.MMP00029,"North America","Tue, 01/27/2015 - 12:00",2015,January,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.776983, -111.879567","US-Mexico border crossing",,"Northern America",5
2015.MMP00030,2015.MMP00030,Caribbean,"Wed, 01/28/2015 - 12:00",2015,January,1,,1,,1,,,"Mixed or unknown","Community of Copey, province of Montecristi, Dominican Republic","Haiti Press Network","18.9251, -72.7247","Haiti to Dominican Republic","http://bit.ly/1BzCgF1, http://bit.ly/2nN4RVR",Caribbean,3
2015.MMP00031,2015.MMP00031,"South-eastern Asia","Thu, 01/29/2015 - 12:00",2015,January,8,49,57,,,,,Drowning,"Bay of Bengal",Xinhaunet,"17.61569445, 93.010777",,http://bit.ly/1CjdLim,"South-eastern Asia",1
2015.MMP00032,2015.MMP00032,Mediterranean,"Fri, 01/30/2015 - 12:00",2015,January,8,2,10,10,,,,Drowning,"Melilla,Spain (near town of Nador)",AP,"35.286196, -2.958993","Western Mediterranean",http://dailym.ai/2ceW3TH,Uncategorized,1
2015.MMP00033,2015.MMP00033,"North America","Fri, 01/30/2015 - 12:00",2015,January,1,,1,,,1,,Drowning,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.396923, -110.952925","US-Mexico border crossing",http://dailym.ai/1iYPbax,"Northern America",5
2015.MMP00034,2015.MMP00034,"Northern Africa","Sat, 01/31/2015 - 12:00",2015,January,1,,1,,,,,Violence,"Unspecified location, Libya",MHub,"26.239989, 12.913084","Sahara Desert crossing","https://archive.vn/e7gb0, https://archive.vn/aBj2m","Northern Africa",2
2015.MMP00035,2015.MMP00035,"Northern Africa","Sat, 01/31/2015 - 12:00",2015,January,26,,26,,,,,"Harsh environmental conditions / lack of adequate shelter, food, water","Unspecified location, Libya",MHub,"26.239989, 12.913084","Sahara Desert crossing","https://archive.vn/PXCXg, https://archive.vn/0rFwG","Northern Africa",2
2015.MMP00036,2015.MMP00036,"Northern Africa","Sat, 01/31/2015 - 12:00",2015,January,1,,1,,,,,Violence,"Al Qatrun, Libya",MHub,"30.404114, 19.565918",,,"Northern Africa",2
2015.MMP00037,2015.MMP00037,"Western Asia","Mon, 02/02/2015 - 12:00",2015,February,3,,3,,,,,Drowning,"Arabian Sea near Yemen","IOM Yemen","14.88608382, 51.542532","Horn of Africa to Yemen crossing",,Uncategorized,4
2015.MMP00038,2015.MMP00038,"Western Asia","Mon, 02/02/2015 - 12:00",2015,February,3,33,36,13,,,1,Drowning,"Off the coast of Dhubab, Yemen","Relief Web and IOM Yemen","12.9422264, 43.412688","Horn of Africa to Yemen crossing","http://bit.ly/1CsYlbr, https://archive.vn/pTnr0",Uncategorized,4
2015.MMP00039,2015.MMP00039,"North America","Fri, 02/06/2015 - 12:00",2015,February,1,,1,,,1,,Drowning,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.3747, -110.93133","US-Mexico border crossing",,"Northern America",5
2015.MMP00040,2015.MMP00040,"North America","Fri, 02/06/2015 - 12:00",2015,February,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.00882, -113.02657","US-Mexico border crossing","https://archive.vn/COKZd, https://archive.vn/pTnr0","Northern America",5
2015.MMP00041,2015.MMP00041,Mediterranean,"Sat, 02/07/2015 - 12:00",2015,February,7,2,9,6,,,,Drowning,"Marmaris, en route to Rhodes",Menafn.com,"34.579, 12.4365","Eastern Mediterranean","http://bit.ly/1zPaELI, https://archive.vn/EiCRT, https://archive.vn/pTnr0",Uncategorized,1
2015.MMP00042,2015.MMP00042,Mediterranean,"Sun, 02/08/2015 - 12:00",2015,February,29,,29,76,,29,,"Harsh environmental conditions / lack of adequate shelter, food, water",Lampedusa,"IOM Rome and New York Times","34.3797, 12.8101","Central Mediterranean",http://nyti.ms/1xTWpST,Uncategorized,4
2015.MMP00043,2015.MMP00043,Mediterranean,"Mon, 02/09/2015 - 12:00",2015,February,,307,307,9,,,,Drowning,"Between Libya and Lampedusa","IOM Italy from Flavio 29/04/2015","34.3616, 12.9858","Central Mediterranean",http://bit.ly/198N7fX,Uncategorized,4
2015.MMP00044,2015.MMP00044,Europe,"Sat, 02/14/2015 - 12:00",2015,February,1,,1,,,1,,Violence,"Calais 'jungle', France","Calais Migrant Solidarity","50.9513, 1.85869","English Channel to the UK","http://bit.ly/1DPsGT2, https://archive.vn/pTnr0","Western Europe",4
