"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location of death","Information Source",Coordinates,"Migrantion route",URL,"UNSD Geographical Grouping","Source Quality"
2015.MMP00045,2015.MMP00045,"North America","Wed, 02/18/2015 - 12:00",2015,February,1,,1,,,,,"Mixed or unknown","AP Ranch, Webb County, Texas, USA","Operation Identification - U. of Texas","27.87871582, -99.142943","US-Mexico border crossing",,"Northern America",5
2015.MMP00046,2015.MMP00046,"North America","Wed, 02/18/2015 - 12:00",2015,February,1,,1,,,,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.16755, -113.00183","US-Mexico border crossing",,"Northern America",5
2015.MMP00047,2015.MMP00047,"North America","Sat, 02/21/2015 - 12:00",2015,February,1,,1,,1,,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.9336, -112.136067","US-Mexico border crossing",,"Northern America",5
2015.MMP00048,2015.MMP00048,"North America","Sat, 02/21/2015 - 12:00",2015,February,1,,1,,1,,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.933033, -112.135833","US-Mexico border crossing",,"Northern America",5
2015.MMP00049,2015.MMP00049,"North America","Mon, 02/23/2015 - 12:00",2015,February,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.069633, -112.996983","US-Mexico border crossing",,"Northern America",5
2015.MMP00050,2015.MMP00050,"Central America","Tue, 02/24/2015 - 12:00",2015,February,1,,1,,,1,,"Mixed or unknown","La Cuchilla sector in municipality of Concepción Chiquirichapa, Quetzaltenango, Guatemala","Prensa Libre","14.633328, -92.133327",,http://bit.ly/29EdzkC,"Central America",1
2015.MMP00051,2015.MMP00051,"Eastern Asia","Fri, 02/27/2015 - 12:00",2015,February,0,15,15,4,,,,Drowning,"Near Macau","Jakarta Post","22.198745, 113.543873",,http://bit.ly/1EU1C1c,"Eastern Asia",1
2015.MMP00052,2015.MMP00052,"Northern Africa","Sat, 02/28/2015 - 12:00",2015,February,5,,5,,,,,Violence,"Tajoura, Libya",MHub,"32.82678851, 13.418913",,,"Northern Africa",2
2015.MMP00053,2015.MMP0005352,"North America","Sat, 02/28/2015 - 12:00",2015,February,2,,2,,1,4,,Drowning,"Rio Grande Sector, Texas, USA",KEPRTV,"29.7110679, -101.569381","US-Mexico border crossing",http://bit.ly/1IhfIel,"Northern America",1
2015.MMP00053,2015.MMP0005353,"North America","Sat, 02/28/2015 - 12:00",2015,February,2,,2,,,,,Drowning,"Rio Grande Sector, Texas, USA",KEPRTV,"29.7110679, -101.569381","US-Mexico border crossing",http://bit.ly/1IhfIel,"Northern America",1
2015.MMP00053,2015.MMP0005354,"North America","Sat, 02/28/2015 - 12:00",2015,February,1,,1,,,,,Drowning,"Rio Grande Sector, Texas, USA",KEPRTV,"29.7110679, -101.569381","US-Mexico border crossing",http://bit.ly/1IhfIel,"Northern America",1
2015.MMP00053,2015.MMP0005355,"North America","Sat, 02/28/2015 - 12:00",2015,February,1,,1,,,,,Drowning,"Rio Grande Sector, Texas, USA",KEPRTV,"29.7110679, -101.569381","US-Mexico border crossing",http://bit.ly/1IhfIel,"Northern America",1
2015.MMP00054,2015.MMP00054,Mediterranean,"Tue, 03/03/2015 - 12:00",2015,March,10,40,50,,,,,Drowning,"Channel of Sicily","IOM Rome","36.0313, 13.3594","Central Mediterranean","http://dailym.ai/1DAANlG, http://bit.ly/1Bp2SWy",Uncategorized,4
2015.MMP00055,2015.MMP00055,Caribbean,"Tue, 03/03/2015 - 12:00",2015,March,1,,1,,1,,,Violence,"Woods near Palo Blanco Community, Dominican Republic","El Caribe","18.7862266, -71.64685","Haiti to Dominican Republic","http://bit.ly/18ibczY, http://bit.ly/2lCIHog",Caribbean,3
2015.MMP00056,2015.MMP00056,"Central America","Fri, 03/06/2015 - 12:00",2015,March,1,,1,,,1,,Drowning,"Chacamax River, Chiapas, Mexico","La 72","17.480292, -91.720399",,,"Central America",1
2015.MMP00057,2015.MMP00057,"North America","Fri, 03/06/2015 - 12:00",2015,March,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.04993, -112.70361","US-Mexico border crossing",http://bit.ly/2h1YRrz,"Northern America",5
2015.MMP00058,2015.MMP00058,"Western Africa","Wed, 03/04/2015 - 12:00",2015,March,,25,25,,,,,Drowning,"Off the coast of Nuadibu, Mauritania","Asociación Pro Derechos Humanos de Andalucía","20.94764809, -17.087039","Western Africa / Atlantic route to the Canary Islands",http://www.apdha.org/media/informe-frontera-sur-2016-web.pdf,Uncategorized,3
2015.MMP00059,2015.MMP00059,"Central America","Wed, 03/04/2015 - 12:00",2015,March,1,,1,,,1,,"Mixed or unknown","Camelinas 2309, Chapultepec Nte., 58260 Morelia, Mich., Mexico","El norte and El Diario","19.682152, -101.169727",,"http://bit.ly/2kGsoFD, http://bit.ly/2kGizI3","Central America",3
2015.MMP00060,2015.MMP00060,"Central America","Fri, 03/06/2015 - 12:00",2015,March,1,,1,,,1,,Drowning,"Rio Grande, near Miguel Alemán, Tamaulipas, Mexico","El Manana","27.623664, -99.634315","US-Mexico border crossing",http://bit.ly/1UdMMbs,"Central America",1
2015.MMP00061,2015.MMP00061,"North America","Fri, 03/06/2015 - 12:00",2015,March,1,,1,,,1,,Drowning,"West Main Canal, Seeley, CA, USA","Imperial County Coroner's Office","32.7467054, -115.66726","US-Mexico border crossing",,"Northern America",5
2015.MMP00062,2015.MMP00062,"Northern Africa","Sun, 03/08/2015 - 12:00",2015,March,4,,4,30,,,,Drowning,"Off the coast of Tan-Tan, Morocco","Ansa Med","28.585093, -11.623172","Western Africa / Atlantic route to the Canary Islands",http://bit.ly/18CGLod,"Northern Africa",1
2015.MMP00063,2015.MMP00063,"Western Asia","Mon, 03/09/2015 - 12:00",2015,March,42,,42,30,,,,Drowning,"Unspecified location off the coast of Bi’r Ali in the southern Shabwah province, Yemen","The Washington Post","13.6467, 48.38535","Horn of Africa to Yemen crossing",http://wapo.st/1ByPfqL,"Eastern Africa",1
2015.MMP00064,2015.MMP00064,"Central America","Mon, 03/09/2015 - 12:00",2015,March,1,,1,,,1,,Drowning,"in the Chacamax River in the municipality of Palenque, Chiapas, Mexico",SinEmbargo,"17.4987, -91.9804",,"http://bit.ly/1bgCYyL, http://bit.ly/1I1ArDt","Central America",3
2015.MMP00065,2015.MMP00065,"Western Asia","Tue, 03/10/2015 - 12:00",2015,March,2,,2,,,2,,"Harsh environmental conditions / lack of adequate shelter, food, water","Uzgaç Village, Turkey","BGN news","41.79227, 26.437847","Turkey-Europe land route",http://bit.ly/1MEQNmg,"Western Asia",1
2015.MMP00066,2015.MMP00066,"Northern Africa","Wed, 03/11/2015 - 12:00",2015,March,4,8,12,18,,,1,Drowning,"Off the coast of Tan-Tan Beach, Morocco","Departamento 19","28.705091, -11.865128","Western Africa / Atlantic route to the Canary Islands",http://bit.ly/1iNy6UW,"Northern Africa",1
2015.MMP00067,2015.MMP00067,"Central America","Wed, 03/11/2015 - 12:00",2015,March,1,,1,,,,,Drowning,"Rio Grande near Guerrero, Coahuila, Mexico",@Frankzocalo,"28.3356884, -100.391984","US-Mexico border crossing",,"Central America",1
2015.MMP00068,2015.MMP00068,"North America","Tue, 03/17/2015 - 12:00",2015,March,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.38205, -112.00476","US-Mexico border crossing","https://archive.vn/CeF3O, https://archive.vn/GT3UL","Northern America",5
2015.MMP00069,2015.MMP00069,"North America","Tue, 03/17/2015 - 12:00",2015,March,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.93395, -112.022917","US-Mexico border crossing",,"Northern America",5
2015.MMP00070,2015.MMP00070,"North America","Tue, 03/17/2015 - 12:00",2015,March,1,,1,,,1,,Drowning,"All American Canal, East of Highline Canal, Calexico CA","Imperial County Coroner's Office","32.6684842, -115.505437","US-Mexico border crossing",,"Northern America",5
2015.MMP00071,2015.MMP00071,Mediterranean,"Tue, 03/17/2015 - 12:00",2015,March,5,3,8,8,,,,Drowning,"Bodrum, Turkey, en route to Kos","IOM Turkey","37.020073, 27.401316","Eastern Mediterranean",,Uncategorized,4
2015.MMP00072,2015.MMP00072,"Central America","Tue, 03/17/2015 - 12:00",2015,March,9,,9,,,9,,"Mixed or unknown","Bodies found in clandestine grave in the municipality of Güémez, Tamaulipas","OHCHR Mexico","23.9184477, -99.007484",,https://http://bit.ly/2QqM55F,"Central America",4
2015.MMP00073,2015.MMP0007375,"Central America","Tue, 03/17/2015 - 12:00",2015,March,2,,2,269,,,,"Vehicle accident / death linked to hazardous transport","Tabasco state, Mexico","South China Morning Post","17.9477122, -93.680034",,http://bit.ly/1CqQVWX,"Central America",1
2015.MMP00073,2015.MMP0007376,"Central America","Tue, 03/17/2015 - 12:00",2015,March,4,,4,,,,,"Vehicle accident / death linked to hazardous transport","Tabasco state, Mexico","South China Morning Post","17.9477122, -93.680034",,http://bit.ly/1CqQVWX,"Central America",1
2015.MMP00074,2015.MMP00074,Mediterranean,"Thu, 03/19/2015 - 12:00",2015,March,3,0,3,84,,,,Drowning,"Zarzis, Tunisa","Email from LANDO Lorena dated 24.04.2015 in Med folder. Also email from MILLMAN Joel dated 19.03.2015 in Med folder","33.5041035, 11.088149","Central Mediterranean","https://archive.vn/Y9Q5L, https://archive.vn/pTnr0",Uncategorized,4
2015.MMP00075,2015.MMP00075,"North America","Tue, 03/24/2015 - 12:00",2015,March,1,,1,,1,,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.873889, -111.810278","US-Mexico border crossing",,"Northern America",5
2015.MMP00076,2015.MMP00076,"North America","Thu, 03/26/2015 - 12:00",2015,March,1,,1,,,1,,Violence,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.123971, -110.871356","US-Mexico border crossing",,"Northern America",5
2015.MMP00077,2015.MMP00077,"Central America","Sun, 03/29/2015 - 12:00",2015,March,1,,1,,,1,,"Mixed or unknown","100 meters from the road to Matehuala, Mexico",Pulso,"23.692761, -100.625276",,http://bit.ly/1GJ1mFg,"Central America",1
2015.MMP00078,2015.MMP00078,"Northern Africa","Sun, 03/29/2015 - 12:00",2015,March,4,,4,,,,,"Mixed or unknown","In the Sahara Desert, Libya","Mixed Migration Monitoring Mechanism Initative (4mi)","28.9493768, 17.285764","Sahara Desert crossing",http://www.mixedmigration.org/4mi/,"Northern Africa",2
2015.MMP00079,2015.MMP00079,"North America","Tue, 03/31/2015 - 12:00",2015,March,1,,1,,,1,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.80132, -110.95279","US-Mexico border crossing",,"Northern America",5
2015.MMP00080,2015.MMP00080,"Western Africa","Sun, 03/01/2015 - 12:00",2015,March,3,,3,,,,,"Harsh environmental conditions / lack of adequate shelter, food, water","Sahara Desert, between Agadez, Niger and Sabha, Libya",MHub,"19.075158, 8.024068","Sahara Desert crossing","https://archive.vn/XMTUM, https://archive.vn/KNZrn","Western Africa",2
2015.MMP00081,2015.MMP00081,"Northern Africa","Tue, 03/31/2015 - 12:00",2015,March,2,,2,,,,,Violence,"Unspecified location, Libya",MHub,"26.239989, 12.913084","Sahara Desert crossing",http://reut.rs/1pGZhU9,"Northern Africa",2
2015.MMP00082,2015.MMP00082,"Northern Africa","Sun, 03/01/2015 - 12:00",2015,March,2,,2,,,,,"Sickness / lack of access to adequate healthcare","Unspecified location, Libya",MHub,"26.239989, 12.913084","Sahara Desert crossing",,"Northern Africa",2
2015.MMP00083,2015.MMP00083,"Northern Africa","Tue, 03/31/2015 - 12:00",2015,March,1,,1,,,,,Violence,"Tripoli, Libya",MHub,"32.849232, 13.1648",,,"Northern Africa",2
2015.MMP00084,2015.MMP00084,"Northern Africa","Tue, 03/31/2015 - 12:00",2015,March,2,,2,,,,,Violence,"Tripoli, Libya",MHub,"32.875003, 13.214771",,,"Northern Africa",2
2015.MMP00085,2015.MMP00085,"South-eastern Asia","Tue, 03/31/2015 - 12:00",2015,March,,243,243,,,,,"Mixed or unknown","Bay of Bengal",UNHCR,"17.64473, 92.46209",,http://www.unhcr.org/554c6a746.html,"South-eastern Asia",4
2015.MMP00086,2015.MMP00086,"South-eastern Asia","Tue, 03/31/2015 - 12:00",2015,March,,130,130,,,,,Drowning,"Bay of Bengal - departed from Myanmar, Rakhine State","Arakan Project","13.498141, 89.487406",,,"South-eastern Asia",4
2015.MMP00087,2015.MMP00087,"Eastern Africa","Thu, 04/02/2015 - 12:00",2015,April,1,,1,,,,,Violence,"In the sea, on the way to Tanzania","Mixed Migration Monitoring Mechanism Initative (4mi)","-6.744507, 39.314697",,http://www.mixedmigration.org/4mi/,"Eastern Africa",2
2015.MMP00088,2015.MMP00088,"Eastern Africa","Thu, 04/02/2015 - 12:00",2015,April,2,,2,,,,,"Sickness / lack of access to adequate healthcare","Maputo, Mozambique","Mixed Migration Monitoring Mechanism Initative (4mi)","-25.899597, 32.609314",,"http://www.mixedmigration.org/4mi/, https://archive.vn/B23zM, https://archive.vn/pTnr0","Eastern Africa",2
2015.MMP00089,2015.MMP00089,Caribbean,"Fri, 04/03/2015 - 12:00",2015,April,1,0,1,10,,1,,Drowning,"Mona Island, Puerto Rico","Caribbean News Now","18.0875678, -67.929464","Dominican Republic to Puerto Rico",http://bit.ly/1Jngh7y,Caribbean,1
2015.MMP00090,2015.MMP00090,"North America","Mon, 04/06/2015 - 12:00",2015,April,1,,1,,,,,"Mixed or unknown","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.5815, -111.77556","US-Mexico border crossing",,"Northern America",5
