Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.17,-0.22,-0.08,-0.15,-0.08,-0.2,-0.16,-0.08,-0.13,-0.22,-0.2,-0.16,-0.15,***,***,-0.1,-0.15,-0.18
1881,-0.18,-0.12,0.05,0.07,0.08,-0.17,0.02,-0.02,-0.14,-0.2,-0.17,-0.05,-0.07,-0.08,-0.15,0.07,-0.06,-0.17
1882,0.18,0.15,0.06,-0.14,-0.12,-0.21,-0.15,-0.06,-0.13,-0.22,-0.15,-0.35,-0.1,-0.07,0.09,-0.07,-0.14,-0.17
1883,-0.28,-0.35,-0.11,-0.17,-0.17,-0.06,-0.06,-0.13,-0.21,-0.11,-0.23,-0.1,-0.17,-0.19,-0.33,-0.15,-0.08,-0.18
1884,-0.12,-0.07,-0.36,-0.39,-0.33,-0.34,-0.32,-0.27,-0.26,-0.24,-0.32,-0.3,-0.27,-0.26,-0.1,-0.36,-0.31,-0.27
1885,-0.57,-0.32,-0.25,-0.41,-0.44,-0.42,-0.33,-0.3,-0.28,-0.23,-0.23,-0.09,-0.32,-0.34,-0.4,-0.37,-0.35,-0.24
1886,-0.43,-0.5,-0.42,-0.27,-0.23,-0.34,-0.17,-0.3,-0.23,-0.27,-0.26,-0.24,-0.31,-0.29,-0.34,-0.31,-0.27,-0.25
1887,-0.71,-0.56,-0.35,-0.34,-0.3,-0.24,-0.25,-0.35,-0.25,-0.35,-0.25,-0.32,-0.35,-0.35,-0.5,-0.33,-0.28,-0.28
1888,-0.33,-0.35,-0.41,-0.2,-0.21,-0.16,-0.1,-0.15,-0.11,0.02,0.04,-0.03,-0.17,-0.19,-0.34,-0.27,-0.14,-0.02
1889,-0.08,0.17,0.07,0.1,0,-0.09,-0.07,-0.19,-0.23,-0.25,-0.32,-0.28,-0.1,-0.08,0.02,0.06,-0.12,-0.27
1890,-0.41,-0.44,-0.39,-0.29,-0.38,-0.24,-0.27,-0.38,-0.36,-0.24,-0.42,-0.3,-0.34,-0.34,-0.37,-0.35,-0.3,-0.34
1891,-0.33,-0.46,-0.17,-0.27,-0.16,-0.2,-0.17,-0.17,-0.15,-0.21,-0.3,-0.04,-0.22,-0.24,-0.36,-0.2,-0.18,-0.22
1892,-0.28,-0.1,-0.4,-0.33,-0.23,-0.22,-0.31,-0.27,-0.16,-0.14,-0.41,-0.37,-0.27,-0.24,-0.14,-0.32,-0.27,-0.23
1893,-0.8,-0.56,-0.22,-0.26,-0.33,-0.25,-0.13,-0.24,-0.21,-0.18,-0.18,-0.31,-0.31,-0.31,-0.58,-0.27,-0.21,-0.19
1894,-0.51,-0.28,-0.22,-0.44,-0.3,-0.4,-0.23,-0.23,-0.27,-0.22,-0.25,-0.2,-0.29,-0.3,-0.37,-0.32,-0.28,-0.25
1895,-0.4,-0.42,-0.32,-0.21,-0.26,-0.2,-0.16,-0.16,-0.12,-0.1,-0.16,-0.13,-0.22,-0.23,-0.34,-0.26,-0.18,-0.13
1896,-0.21,-0.12,-0.26,-0.3,-0.15,-0.11,-0.02,-0.05,-0.06,0.07,-0.04,-0.04,-0.11,-0.11,-0.15,-0.23,-0.06,-0.01
1897,-0.14,-0.16,-0.13,-0.02,-0.01,-0.11,-0.02,-0.09,-0.08,-0.12,-0.17,-0.19,-0.1,-0.09,-0.11,-0.05,-0.07,-0.12
1898,-0.01,-0.29,-0.51,-0.3,-0.3,-0.19,-0.21,-0.26,-0.21,-0.34,-0.38,-0.23,-0.27,-0.27,-0.17,-0.37,-0.22,-0.31
1899,-0.16,-0.38,-0.36,-0.2,-0.22,-0.31,-0.16,-0.08,-0.05,-0.04,0.13,-0.26,-0.17,-0.17,-0.26,-0.26,-0.18,0.01
1900,-0.35,-0.05,0,-0.08,-0.09,-0.09,-0.13,-0.09,-0.05,0.1,-0.06,-0.07,-0.08,-0.1,-0.22,-0.06,-0.1,-0.01
1901,-0.21,-0.11,0.06,-0.02,-0.15,-0.12,-0.14,-0.2,-0.22,-0.29,-0.17,-0.27,-0.15,-0.14,-0.13,-0.04,-0.15,-0.23
1902,-0.17,-0.06,-0.28,-0.28,-0.32,-0.3,-0.28,-0.29,-0.29,-0.28,-0.35,-0.41,-0.28,-0.26,-0.17,-0.29,-0.29,-0.31
1903,-0.23,-0.05,-0.22,-0.4,-0.39,-0.42,-0.35,-0.45,-0.49,-0.48,-0.42,-0.5,-0.37,-0.36,-0.23,-0.34,-0.4,-0.46
1904,-0.63,-0.57,-0.48,-0.5,-0.51,-0.48,-0.5,-0.48,-0.55,-0.38,-0.17,-0.32,-0.46,-0.48,-0.57,-0.5,-0.49,-0.36
1905,-0.34,-0.58,-0.21,-0.33,-0.28,-0.28,-0.26,-0.2,-0.18,-0.24,-0.06,-0.12,-0.26,-0.27,-0.41,-0.27,-0.25,-0.16
1906,-0.27,-0.29,-0.18,-0.04,-0.25,-0.19,-0.22,-0.19,-0.28,-0.19,-0.37,-0.14,-0.22,-0.22,-0.23,-0.16,-0.2,-0.28
1907,-0.42,-0.5,-0.27,-0.36,-0.46,-0.41,-0.34,-0.33,-0.34,-0.22,-0.45,-0.46,-0.38,-0.35,-0.36,-0.36,-0.36,-0.34
1908,-0.44,-0.32,-0.55,-0.44,-0.37,-0.38,-0.35,-0.45,-0.35,-0.43,-0.51,-0.48,-0.42,-0.42,-0.4,-0.45,-0.39,-0.43
1909,-0.72,-0.45,-0.53,-0.58,-0.54,-0.51,-0.44,-0.33,-0.38,-0.39,-0.31,-0.56,-0.48,-0.47,-0.55,-0.55,-0.43,-0.36
1910,-0.41,-0.4,-0.5,-0.41,-0.33,-0.38,-0.33,-0.36,-0.38,-0.4,-0.54,-0.66,-0.43,-0.42,-0.46,-0.42,-0.36,-0.44
1911,-0.62,-0.57,-0.61,-0.53,-0.51,-0.5,-0.41,-0.43,-0.4,-0.26,-0.2,-0.21,-0.44,-0.48,-0.62,-0.55,-0.45,-0.29
1912,-0.24,-0.14,-0.37,-0.17,-0.2,-0.23,-0.42,-0.54,-0.59,-0.57,-0.38,-0.43,-0.36,-0.34,-0.2,-0.25,-0.4,-0.51
1913,-0.4,-0.45,-0.42,-0.39,-0.43,-0.45,-0.36,-0.34,-0.34,-0.32,-0.19,-0.02,-0.34,-0.38,-0.42,-0.42,-0.38,-0.29
1914,0.05,-0.09,-0.24,-0.29,-0.21,-0.25,-0.23,-0.16,-0.17,-0.03,-0.15,-0.04,-0.15,-0.15,-0.02,-0.25,-0.21,-0.12
1915,-0.2,-0.03,-0.1,0.07,-0.06,-0.22,-0.12,-0.22,-0.21,-0.24,-0.13,-0.22,-0.14,-0.13,-0.09,-0.03,-0.19,-0.19
1916,-0.12,-0.14,-0.28,-0.3,-0.34,-0.5,-0.37,-0.29,-0.37,-0.33,-0.46,-0.82,-0.36,-0.31,-0.16,-0.31,-0.38,-0.39
1917,-0.58,-0.63,-0.64,-0.55,-0.55,-0.44,-0.25,-0.22,-0.23,-0.44,-0.33,-0.67,-0.46,-0.47,-0.68,-0.58,-0.3,-0.33
1918,-0.47,-0.33,-0.24,-0.43,-0.42,-0.36,-0.31,-0.31,-0.17,-0.06,-0.11,-0.29,-0.29,-0.33,-0.49,-0.37,-0.33,-0.11
1919,-0.2,-0.24,-0.21,-0.12,-0.28,-0.36,-0.29,-0.33,-0.25,-0.2,-0.41,-0.42,-0.28,-0.27,-0.24,-0.2,-0.33,-0.29
1920,-0.24,-0.26,-0.12,-0.24,-0.27,-0.36,-0.3,-0.26,-0.22,-0.26,-0.27,-0.46,-0.27,-0.27,-0.31,-0.21,-0.31,-0.25
1921,-0.04,-0.17,-0.23,-0.3,-0.3,-0.27,-0.15,-0.26,-0.19,-0.04,-0.13,-0.17,-0.19,-0.21,-0.23,-0.28,-0.23,-0.12
1922,-0.33,-0.44,-0.15,-0.23,-0.34,-0.31,-0.27,-0.33,-0.36,-0.33,-0.15,-0.19,-0.29,-0.28,-0.32,-0.24,-0.3,-0.28
1923,-0.27,-0.39,-0.34,-0.41,-0.34,-0.3,-0.31,-0.33,-0.31,-0.14,-0.03,-0.04,-0.27,-0.28,-0.28,-0.36,-0.31,-0.16
1924,-0.23,-0.24,-0.08,-0.31,-0.18,-0.26,-0.29,-0.36,-0.32,-0.35,-0.21,-0.43,-0.27,-0.24,-0.17,-0.19,-0.3,-0.3
1925,-0.39,-0.4,-0.28,-0.25,-0.29,-0.32,-0.26,-0.2,-0.2,-0.17,0.05,0.06,-0.22,-0.26,-0.41,-0.27,-0.26,-0.11
1926,0.21,0.03,0.11,-0.12,-0.24,-0.26,-0.28,-0.13,-0.14,-0.11,-0.06,-0.29,-0.11,-0.08,0.1,-0.08,-0.22,-0.11
1927,-0.27,-0.18,-0.38,-0.3,-0.25,-0.27,-0.18,-0.24,-0.13,-0.01,-0.05,-0.33,-0.22,-0.21,-0.25,-0.31,-0.23,-0.06
1928,-0.02,-0.09,-0.25,-0.28,-0.3,-0.39,-0.19,-0.23,-0.22,-0.19,-0.09,-0.17,-0.2,-0.21,-0.15,-0.28,-0.27,-0.17
1929,-0.45,-0.59,-0.33,-0.42,-0.38,-0.44,-0.37,-0.33,-0.26,-0.14,-0.11,-0.54,-0.36,-0.33,-0.4,-0.37,-0.38,-0.17
1930,-0.29,-0.26,-0.11,-0.24,-0.24,-0.22,-0.21,-0.15,-0.15,-0.12,0.18,-0.05,-0.16,-0.2,-0.37,-0.2,-0.19,-0.03
1931,-0.1,-0.21,-0.1,-0.22,-0.19,-0.08,-0.04,-0.04,-0.07,0.05,-0.06,-0.05,-0.09,-0.09,-0.12,-0.17,-0.05,-0.02
1932,0.16,-0.17,-0.18,-0.05,-0.17,-0.29,-0.24,-0.22,-0.1,-0.09,-0.27,-0.26,-0.16,-0.14,-0.02,-0.13,-0.25,-0.15
1933,-0.23,-0.29,-0.29,-0.24,-0.29,-0.34,-0.21,-0.24,-0.29,-0.25,-0.3,-0.44,-0.28,-0.27,-0.26,-0.27,-0.26,-0.28
1934,-0.21,-0.02,-0.29,-0.3,-0.09,-0.15,-0.1,-0.12,-0.15,-0.06,0.04,-0.02,-0.12,-0.16,-0.22,-0.23,-0.12,-0.06
1935,-0.33,0.14,-0.14,-0.36,-0.29,-0.27,-0.21,-0.22,-0.21,-0.06,-0.26,-0.17,-0.2,-0.18,-0.07,-0.26,-0.23,-0.17
1936,-0.27,-0.38,-0.21,-0.2,-0.16,-0.22,-0.09,-0.13,-0.09,-0.03,0.02,0,-0.15,-0.16,-0.27,-0.19,-0.15,-0.03
1937,-0.07,0.03,-0.2,-0.15,-0.05,-0.05,-0.03,0.01,0.09,0.09,0.09,-0.07,-0.03,-0.02,-0.01,-0.14,-0.02,0.09
1938,0.08,0.04,0.1,0.06,-0.09,-0.17,-0.09,-0.05,0.01,0.15,0.08,-0.12,0,0,0.02,0.02,-0.1,0.08
1939,-0.05,-0.06,-0.17,-0.09,-0.04,-0.07,-0.05,-0.06,-0.07,-0.03,0.07,0.44,-0.01,-0.06,-0.08,-0.1,-0.06,-0.01
1940,0,0.08,0.09,0.17,0.11,0.11,0.12,0.07,0.15,0.11,0.17,0.32,0.13,0.14,0.17,0.13,0.1,0.14
